,id,stat_year,revenue,expense,revenue_yoy,expense_yoy
33,34,1950,62.17,68.05,,
32,33,1951,124.96,122.07,101.0,79.4
35,36,1952,173.94,172.07,39.2,41.0
34,35,1953,213.24,219.21,22.6,27.4
29,30,1954,245.17,244.11,15.0,11.4
28,29,1955,249.27,262.73,1.7,7.6
31,32,1956,280.19,298.52,12.4,13.6
30,31,1957,303.2,295.95,8.2,-0.9
38,39,1958,379.62,400.36,25.2,35.3
37,38,1959,487.12,543.17,28.3,35.7
16,17,1960,572.29,643.68,17.5,18.5
17,18,1961,356.06,356.09,-37.8,-44.7
2,3,1962,313.55,294.88,-11.9,-17.2
3,4,1963,342.25,332.05,9.2,12.6
12,13,1964,399.54,393.79,16.7,18.6
13,14,1965,473.32,459.97,18.5,16.8
14,15,1966,558.71,537.65,18.0,16.9
15,16,1967,419.36,439.84,-24.9,-18.2
36,37,1968,361.25,357.84,-13.9,-18.6
39,40,1969,526.76,525.86,45.8,47.0
55,56,1970,662.9,649.41,25.8,23.5
54,55,1971,744.73,732.17,12.3,12.7
53,54,1972,766.56,765.86,2.9,4.6
52,53,1973,809.67,808.78,5.6,5.6
0,1,1974,783.14,790.25,-3.3,-2.3
50,51,1975,815.61,820.88,4.1,3.8
49,50,1976,776.58,806.2,-4.8,-1.8
48,49,1977,874.46,843.53,12.6,4.6
47,48,1978,1132.26,1122.09,29.5,33.0
26,27,1979,1146.38,1281.79,1.2,14.2
10,11,1980,1159.93,1228.83,1.2,-4.1
11,12,1981,1175.79,1138.41,1.4,-7.5
8,9,1982,1212.33,1229.98,3.1,8.0
9,10,1983,1366.95,1409.52,12.8,14.6
6,7,1984,1642.86,1701.02,20.2,20.7
7,8,1985,2004.82,2004.25,22.0,17.8
4,5,1986,2122.01,2204.91,5.8,10.0
5,6,1987,2199.35,2262.18,3.6,2.6
18,19,1988,2357.24,2491.21,7.2,10.1
19,20,1989,2664.9,2823.78,13.1,13.3
41,42,1990,2937.1,3083.59,10.2,9.2
40,41,1991,3149.48,3386.62,7.2,9.8
43,44,1992,3483.37,3742.2,10.6,10.5
42,43,1993,4348.95,4642.3,24.8,24.1
45,46,1994,5218.1,5792.62,20.0,24.8
44,45,1995,6242.2,6823.72,19.6,17.8
51,52,1996,7407.99,7937.55,18.7,16.3
46,47,1997,8651.14,9233.56,16.8,16.3
1,2,1998,9875.95,10798.18,14.2,16.9
27,28,1999,11444.08,13187.67,15.9,22.1
58,59,2000,13395.23,15886.5,17.0,20.5
59,60,2001,16386.04,18902.58,22.3,19.0
56,57,2002,18903.64,22053.15,15.4,16.7
57,58,2003,21715.25,24649.95,14.9,11.8
62,63,2004,26396.47,28486.89,21.6,15.6
63,64,2005,31649.29,33930.28,19.9,19.1
60,61,2006,38760.2,40422.73,22.5,19.1
61,62,2007,51321.78,49781.35,32.4,23.2
64,65,2008,61330.35,62592.66,19.5,25.7
65,66,2009,68518.3,76299.93,11.7,21.9
23,24,2010,83101.51,89874.16,21.3,17.8
22,23,2011,103874.43,109247.79,25.0,21.6
25,26,2012,117253.52,125952.97,12.9,15.3
24,25,2013,129209.64,140212.1,10.2,11.3
21,22,2014,140370.03,151785.56,8.6,8.3
20,21,2015,152269.23,175877.77,5.8,13.2
66,67,2016,159604.97,187755.21,4.5,6.3
67,68,2017,172592.77,203085.49,7.4,7.6
68,70,2018,183359.84,220904.13,6.2,8.7
69,72,2019,190390.08,238858.37,3.8,8.1
70,74,2020,182913.88,245679.03,-3.9,2.9
