,id,stat_month,invest,invest_yoy,auxiliary_project,auxiliary_project_yoy,resident,resident_yoy,below90_house,below90_house_yoy,above144_house,above144_house_yoy,villa_flat,villa_flat_yoy,office,office_yoy,business,business_yoy,other_house,other_house_yoy,construct,construct_yoy,install,install_yoy,equipment_purchase,equipment_purchase_yoy,other_expense,other_expense_yoy,land_purchase,land_purchase_yoy,plan_invest,plan_invest_yoy,new_fixed_assets,new_fixed_assets_yoy
27,221,2000-02,246.04,19.8,,,165.39,33.0,,,,,,,17.86,-4.9,26.21,-1.8,36.58,2.9,,,,,,,,,,,,,,
28,222,2000-03,534.5,20.4,,,358.75,23.1,,,,,,,38.16,-17.4,55.53,12.2,82.07,44.2,,,,,,,,,,,,,,
29,223,2000-04,834.81,20.8,,,567.12,24.6,,,,,,,60.08,-11.9,83.94,12.9,123.66,32.4,,,,,,,,,,,,,,
30,224,2000-05,1175.89,20.8,,,808.23,26.6,,,,,,,84.44,-10.1,118.65,11.5,164.58,22.4,,,,,,,,,,,,,,
31,225,2000-06,1622.6,22.4,,,1125.54,28.8,,,,,,,114.37,-6.2,165.17,12.9,217.52,18.7,,,,,,,,,,,,,,
32,226,2000-07,2014.55,24.1,,,1397.42,29.5,,,,,,,140.79,-3.2,211.54,17.5,264.8,20.9,,,,,,,,,,,,,,
33,227,2000-08,2413.38,24.3,,,1668.16,29.0,,,,,,,166.17,-3.5,253.67,17.7,325.38,24.9,,,,,,,,,,,,,,
34,228,2000-09,2860.6,25.0,,,1976.31,29.8,,,,,,,193.81,-2.1,305.59,16.5,384.82,26.3,,,,,,,,,,,,,,
184,378,2000-10,3282.65,24.6,,,2272.17,29.2,,,,,,,216.27,-3.0,349.73,17.2,444.48,25.4,,,,,,,,,,,21317.25,34.2,1046.22,14.4
183,377,2000-11,3744.28,24.1,,,2605.45,29.2,,,,,,,238.57,-7.4,393.58,16.4,506.68,25.3,,,,,,,,,,,21968.83,37.9,1293.09,19.2
182,376,2000-12,4901.73,19.5,,,3318.74,25.8,,,,,,,292.57,-12.9,547.75,19.3,742.68,28.6,,,,,,,,,,,24702.42,33.5,3000.56,14.8
172,366,2001-02,319.93,23.0,,,216.73,31.0,,,,,,,20.59,15.3,32.56,24.2,50.05,36.8,,,,,,,,,,,11396.85,26.9,105.14,55.4
171,365,2001-03,677.2,22.9,,,461.32,28.6,,,,,,,37.8,-0.9,71.78,29.3,106.31,29.5,,,,,,,,,,,15480.49,27.8,233.85,86.3
170,364,2001-04,1057.25,22.8,,,721.95,27.3,,,,,,,57.48,-4.3,114.06,35.9,163.77,32.4,,,,,,,,,,,16910.26,27.4,352.84,78.3
169,363,2001-05,1534.85,26.5,,,1056.75,30.7,,,,,,,80.81,-4.3,164.34,38.5,232.95,41.5,,,,,,,,,,,17943.96,27.3,467.42,60.9
168,362,2001-06,2122.5,28.2,,,1457.98,29.5,,,,,,,113.38,-0.9,224.16,35.7,326.98,50.3,,,,,,,,,,,18992.26,26.8,651.9,39.5
167,361,2001-07,2651.75,31.6,,,1820.09,30.2,,,,,,,135.9,-3.5,288.94,36.6,406.81,53.6,,,,,,,,,,,19973.21,27.2,790.7,25.1
58,252,2001-08,3187.93,32.1,,,2196.54,31.7,,,,,,,157.69,-5.1,349.18,37.7,484.52,48.9,,,,,,,,,,,20536.51,27.5,998.41,36.1
38,232,2001-09,3758.82,31.4,,,2604.01,31.8,,,,,,,182.07,-6.1,413.65,35.4,559.1,45.3,,,,,,,,,,,21225.9,27.4,1199.06,34.8
9,203,2001-10,4305.74,31.2,,,2997.92,31.9,,,,,,,206.92,-4.3,472.64,35.1,628.26,41.3,,,,,,,,,,,21712.44,25.4,1393.8,33.2
10,204,2001-11,4857.16,29.7,,,3400.14,30.5,,,,,,,230.67,-3.3,534.53,35.8,691.82,36.5,,,,,,,,,,,22320.89,1.6,1664.79,28.7
57,251,2001-12,6245.48,25.3,,,4278.74,28.9,,,,,,,318.0,8.7,720.8,31.6,927.94,24.9,,,,,,,,,,,25376.02,22.5,3942.36,31.4
23,217,2002-02,416.58,30.2,,,287.08,32.5,,,,,,,19.07,-7.4,39.86,22.4,70.57,41.0,256.4,26.5,17.96,11.2,6.42,52.3,135.8,40.1,80.62,68.8,13606.49,19.4,109.94,4.6
24,218,2002-03,922.35,36.2,,,631.14,36.8,,,,,,,47.11,24.6,99.54,38.7,144.56,36.0,585.61,32.2,38.2,52.2,12.28,37.4,286.26,42.9,158.79,47.6,18273.59,18.0,273.34,16.9
96,290,2002-04,1467.47,38.8,,,1027.82,42.4,,,,,,,75.01,30.5,151.28,32.6,213.36,30.3,925.96,33.3,56.45,43.8,18.39,24.7,466.68,51.2,249.51,53.7,20762.91,22.8,394.46,11.8
