,id,stat_year,area_code,area_name,population,male,female,urban,rural,birth_rate,death_rate,growth_rate
18,525,1949,156,中国,54167.0,28145.0,26022.0,5765.0,48402.0,36.0,20.0,16.0
38,545,1950,156,中国,55196.0,28669.0,26527.0,6169.0,49027.0,37.0,18.0,19.0
37,544,1951,156,中国,56300.0,29231.0,27069.0,6632.0,49668.0,37.8,17.8,20.0
40,547,1952,156,中国,57482.0,29833.0,27649.0,7163.0,50319.0,37.0,17.0,20.0
39,546,1953,156,中国,58796.0,30468.0,28328.0,7826.0,50970.0,37.0,14.0,23.0
34,541,1954,156,中国,60266.4,31242.0,29024.0,8249.0,52017.0,37.97,13.18,24.79
33,540,1955,156,中国,61465.0,31809.0,29656.0,8285.0,53180.0,32.6,12.28,20.32
12,519,1956,156,中国,62828.3,32536.0,30292.0,9185.0,53643.0,31.9,11.4,20.5
35,542,1957,156,中国,64653.3,33469.0,31184.0,9949.0,54704.0,34.03,10.8,23.23
43,550,1958,156,中国,65994.3,34195.0,31799.0,10721.0,55273.0,29.22,11.98,17.24
42,549,1959,156,中国,67206.9,34890.0,32317.0,12371.0,54836.0,24.78,14.59,10.19
27,534,1960,156,中国,66207.0,34283.0,31924.0,13073.0,53134.0,20.86,25.43,-4.57
28,535,1961,156,中国,65859.1,33880.0,31979.0,12707.0,53152.0,18.13,14.33,3.8
13,520,1962,156,中国,67295.5,34517.0,32778.0,11659.0,55636.0,37.22,10.08,27.14
14,521,1963,156,中国,69172.0,35533.0,33639.0,11646.0,57526.0,43.6,10.1,33.5
23,530,1964,156,中国,70499.1,36142.0,34357.0,12950.0,57549.0,39.34,11.56,27.78
24,531,1965,156,中国,72538.0,37128.0,35410.0,13045.0,59493.0,38.0,9.5,28.5
25,532,1966,156,中国,74542.0,38189.0,36353.0,13313.0,61229.0,35.21,8.87,26.34
26,533,1967,156,中国,76368.2,39115.0,37253.0,13548.0,62820.0,34.12,8.47,25.65
41,548,1968,156,中国,78534.2,40226.0,38308.0,13838.0,64696.0,35.75,8.25,27.5
44,551,1969,156,中国,80671.2,41289.0,39382.0,14117.0,66554.0,34.25,8.06,26.19
60,567,1970,156,中国,82992.0,42686.0,40306.0,14424.0,68568.0,33.59,7.64,25.95
