,code,display_name,start_date,end_date,type
0,WKA,万科A,1991-01-29,2200-01-01,stock
1,SZYA,深振业A,1992-04-27,2200-01-01,stock
2,*STQX,*ST全新,1992-04-13,2200-01-01,stock
3,SWYA,深物业A,1992-03-30,2200-01-01,stock
4,SHGF,沙河股份,1992-06-02,2200-01-01,stock
5,ZSDC,招商地产,1993-06-07,2015-12-29,stock
6,SSFA,深深房A,1993-09-15,2200-01-01,stock
7,DYC,大悦城,1993-10-08,2200-01-01,stock
8,HLKG,华联控股,1994-06-17,2200-01-01,stock
9,ZZKG,中洲控股,1994-09-21,2200-01-01,stock
10,ZHSD,中航善达,1994-09-28,2019-12-13,stock
11,HQCA,华侨城A,1997-09-10,2200-01-01,stock
12,JRJ,金融街,1996-06-26,2200-01-01,stock
13,*STLJ,*ST绿景,1992-11-23,2200-01-01,stock
14,YKF,渝开发,1993-07-12,2200-01-01,stock
15,RADC,荣安地产,1993-08-06,2200-01-01,stock
16,GYFZ,广宇发展,1993-12-10,2200-01-01,stock
17,ZTJR,中天金融,1994-02-02,2200-01-01,stock
18,LYTY,莱茵体育,1994-05-09,2200-01-01,stock
19,WAWJ,我爱我家,1994-02-02,2200-01-01,stock
20,YHYA,粤宏远A,1994-08-15,2200-01-01,stock
21,YGGF,阳光股份,1996-09-19,2200-01-01,stock
22,AYMG,奥园美谷,1996-10-16,2200-01-01,stock
23,STHT,ST海投,1996-11-08,2200-01-01,stock
24,XHL,新华联,1996-10-29,2200-01-01,stock
25,SFHY,顺发恒业,1996-11-22,2200-01-01,stock
26,JKGF,金科股份,1996-11-28,2200-01-01,stock
27,MHZY,美好置业,1996-12-05,2200-01-01,stock
28,RFKG,荣丰控股,1996-12-10,2200-01-01,stock
29,YGC,阳光城,1996-12-18,2200-01-01,stock
30,SNHQ,苏宁环球,1997-04-08,2200-01-01,stock
31,XNTS,新能泰山,1997-05-09,2200-01-01,stock
32,THJT,泰禾集团,1997-07-04,2200-01-01,stock
33,ZJDC,中交地产,1997-04-25,2200-01-01,stock
34,ZGWY,中国武夷,1997-07-15,2200-01-01,stock
35,CXFZ,财信发展,1997-06-26,2200-01-01,stock
36,SXYX,三湘印象,1997-09-25,2200-01-01,stock
37,HNGS,海南高速,1998-01-23,2200-01-01,stock
38,JBFZ,津滨发展,1999-04-22,2200-01-01,stock
39,SYKJ,数源科技,1999-05-07,2200-01-01,stock
40,JKC,嘉凯城,1999-07-20,2200-01-01,stock
41,FXGF,福星股份,1999-06-18,2200-01-01,stock
42,ZNJS,中南建设,2000-03-01,2200-01-01,stock
43,TBJJ,天保基建,2000-04-06,2200-01-01,stock
44,ZHT,中弘退,2000-06-16,2018-12-27,stock
45,ZSJY,招商积余,1994-09-28,2200-01-01,stock
46,ZSSK,招商蛇口,2015-12-30,2200-01-01,stock
47,SRZY,世荣兆业,2004-07-08,2200-01-01,stock
48,GYJT,广宇集团,2007-04-27,2200-01-01,stock
49,RSFZ,荣盛发展,2007-08-08,2200-01-01,stock
50,*STXG,*ST新光,2007-08-08,2200-01-01,stock
51,HFCJ,合肥城建,2008-01-28,2200-01-01,stock
52,BJJT,滨江集团,2008-05-29,2200-01-01,stock
53,SLH,世联行,2009-08-28,2200-01-01,stock
54,NGZY,南国置业,2009-11-06,2200-01-01,stock
55,NSKG,南山控股,2009-12-03,2200-01-01,stock
56,GCGX,国创高新,2010-03-23,2200-01-01,stock
57,XDZ,新大正,2019-12-03,2200-01-01,stock
58,TFFW,特发服务,2020-12-21,2200-01-01,stock
59,ZGGM,中国国贸,1999-03-12,2200-01-01,stock
60,BLFZ,保利发展,2006-07-31,2200-01-01,stock
61,NJGK,南京高科,1997-05-06,2200-01-01,stock
62,GCDT,冠城大通,1997-05-08,2200-01-01,stock
63,SDGF,宋都股份,1997-05-20,2200-01-01,stock
64,DMC,大名城,1997-07-03,2200-01-01,stock
65,DLDC,大龙地产,1998-05-26,2200-01-01,stock
66,XJKG,香江控股,1998-06-09,2200-01-01,stock
67,WLDC,卧龙地产,1999-04-15,2200-01-01,stock
68,GLDC,格力地产,1999-06-11,2200-01-01,stock
69,XHZB,新湖中宝,1999-06-23,2200-01-01,stock
70,PSL,派斯林,1999-09-09,2200-01-01,stock
71,LSFZ,鲁商发展,2000-01-13,2200-01-01,stock
72,*STSJ,*ST松江,2000-01-27,2200-01-01,stock
73,*STYC,*ST云城,1999-12-02,2200-01-01,stock
74,TSHY,退市华业,2000-06-28,2020-02-05,stock
75,WTFZ,万通发展,2000-09-22,2200-01-01,stock
76,CJFZ,城建发展,1999-02-03,2200-01-01,stock
77,TFFZ,天房发展,2001-09-10,2200-01-01,stock
78,HFGF,华发股份,2004-02-25,2200-01-01,stock
79,HXXF,华夏幸福,2003-12-30,2200-01-01,stock
80,SKGF,首开股份,2001-03-12,2200-01-01,stock
81,JDJT,金地集团,2001-04-12,2200-01-01,stock
82,STYT,ST粤泰,2001-03-19,2200-01-01,stock
83,LGFZ,蓝光发展,2001-02-12,2200-01-01,stock
84,HLJZ,华丽家族,2002-07-09,2200-01-01,stock
85,HMD,黑牡丹,2002-06-18,2200-01-01,stock
86,*STJC,*ST基础,2002-08-06,2200-01-01,stock
87,QXJS,栖霞建设,2002-03-28,2200-01-01,stock
88,*STHC,*ST海创,2001-03-28,2200-01-01,stock
89,DMGF,迪马股份,2002-07-23,2200-01-01,stock
90,SBGX,市北高新,1992-03-27,2200-01-01,stock
91,GDJB,光大嘉宝,1992-12-03,2200-01-01,stock
92,XHP,新黄浦,1993-03-26,2200-01-01,stock
93,PDJQ,浦东金桥,1993-03-26,2200-01-01,stock
94,WYQY,万业企业,1993-04-07,2200-01-01,stock
95,CTKG,城投控股,1993-05-18,2200-01-01,stock
96,XDDC,信达地产,1993-05-24,2200-01-01,stock
97,DZC,电子城,1993-05-24,2200-01-01,stock
98,LJZ,陆家嘴,1993-06-28,2200-01-01,stock
99,TDY,天地源,1993-07-09,2200-01-01,stock
100,ZHQY,中华企业,1993-09-24,2200-01-01,stock
101,JTFZ,京投发展,1993-10-25,2200-01-01,stock
102,ZJGF,珠江股份,1993-10-28,2200-01-01,stock
103,YTGF,亚通股份,1993-11-19,2200-01-01,stock
104,GMDC,光明地产,1996-06-06,2200-01-01,stock
105,FHGF,凤凰股份,1996-07-02,2200-01-01,stock
106,SZGX,苏州高新,1996-08-15,2200-01-01,stock
107,HYDC,华远地产,1996-09-09,2200-01-01,stock
108,SSFZ,上实发展,1996-09-25,2200-01-01,stock
109,XZCT,西藏城投,1996-11-08,2200-01-01,stock
110,JNZY,京能置业,1997-01-30,2200-01-01,stock
111,JNGX,济南高新,1994-01-03,2200-01-01,stock
112,SMGF,世茂股份,1994-02-04,2200-01-01,stock
113,XHCY,新湖创业,1994-03-11,2009-08-27,stock
114,SHLG,上海临港,1994-03-24,2200-01-01,stock
115,*STZF,*ST中房,1996-03-18,2200-01-01,stock
116,ZJGK,张江高科,1996-04-22,2200-01-01,stock
117,XCKG,新城控股,2015-12-04,2200-01-01,stock
118,ZXJT,中新集团,2019-12-20,2200-01-01,stock
119,BCSY,北辰实业,2006-10-16,2200-01-01,stock
120,NDWY,南都物业,2018-02-01,2200-01-01,stock
