,id,stat_month,area_code,area_name,invest,invest_yoy,resident,resident_yoy
3128,9062,2000-02,140000,山西省,0.57,17.8,0.52,118.5
2546,8480,2000-02,450000,广西壮族自治区,1.54,28.9,1.0,7.5
1190,7124,2000-02,510000,四川省,9.17,6.4,6.01,10.6
4456,10390,2000-02,360000,江西省,2.36,21.7,1.67,19.6
4068,10002,2000-02,120000,天津市,5.08,64.1,3.75,85.3
802,6736,2000-02,500000,重庆市,10.06,33.5,6.08,98.4
996,6930,2000-02,620000,甘肃省,0.02,,0.02,
3322,9256,2000-02,230000,黑龙江省,0.25,112.6,0.25,175.6
4262,10196,2000-02,210000,辽宁省,1.43,13.4,0.72,245.0
2934,8868,2000-02,610000,陕西省,3.42,12.4,1.73,-4.6
221,6155,2000-02,520000,贵州省,2.73,263.0,1.63,291.0
608,6542,2000-02,440000,广东省,61.87,33.0,42.7,39.2
1384,7318,2000-02,410000,河南省,3.24,13.7,2.43,91.5
2352,8286,2000-02,330000,浙江省,29.88,41.7,23.42,51.7
27,5961,2000-02,350000,福建省,15.62,72.8,9.94,59.2
1966,7900,2000-02,110000,北京市,25.98,22.5,12.55,49.6
2740,8674,2000-02,430000,湖南省,1.97,65.0,1.25,109.2
1578,7512,2000-02,340000,安徽省,4.0,53.9,2.77,62.6
1772,7706,2000-02,320000,江苏省,21.22,37.5,16.84,53.0
3874,9808,2000-02,460000,海南省,0.86,515.8,0.79,1147.6
3514,9448,2000-03,630000,青海省,1.32,0.1,0.9,-14.0
803,6737,2000-03,500000,重庆市,17.27,38.3,10.37,88.2
4649,10583,2000-03,150000,内蒙古自治区,0.11,0.0,0.01,0.0
2935,8869,2000-03,610000,陕西省,8.31,-16.4,4.89,-22.5
3323,9257,2000-03,230000,黑龙江省,0.9,-44.3,0.7,13.8
997,6931,2000-03,620000,甘肃省,0.62,24.9,0.5,62.9
1579,7513,2000-03,340000,安徽省,9.91,37.2,6.7,32.5
4069,10003,2000-03,120000,天津市,14.34,16.8,10.61,9.6
415,6349,2000-03,640000,宁夏回族自治区,0.28,172.9,0.08,13.0
1967,7901,2000-03,110000,北京市,53.61,28.7,28.32,31.7
4263,10197,2000-03,210000,辽宁省,8.2,33.9,3.99,36.3
3875,9809,2000-03,460000,海南省,0.96,98.9,0.84,173.8
222,6156,2000-03,520000,贵州省,4.68,61.0,2.84,53.2
28,5962,2000-03,350000,福建省,27.02,5.5,17.32,10.6
2547,8481,2000-03,450000,广西壮族自治区,3.89,24.1,2.32,8.1
4457,10391,2000-03,360000,江西省,4.29,27.5,3.08,27.8
1385,7319,2000-03,410000,河南省,8.56,12.3,6.09,38.6
609,6543,2000-03,440000,广东省,127.05,25.2,83.73,20.5
1773,7707,2000-03,320000,江苏省,45.42,31.6,34.6,33.3
2353,8287,2000-03,330000,浙江省,47.33,37.7,37.14,54.8
3129,9063,2000-03,140000,山西省,0.96,17.0,0.91,55.8
2160,8094,2000-03,650000,新疆维吾尔自治区,0.63,196.4,0.59,246.4
1191,7125,2000-03,510000,四川省,21.26,26.6,14.38,28.2
2741,8675,2000-03,430000,湖南省,6.49,40.9,4.06,53.6
2742,8676,2000-04,430000,湖南省,9.45,23.5,6.0,50.9
998,6932,2000-04,620000,甘肃省,1.89,3.0,1.21,7.0
4650,10584,2000-04,150000,内蒙古自治区,1.72,166.4,1.08,99.3
2936,8870,2000-04,610000,陕西省,12.25,21.2,8.01,21.9
4070,10004,2000-04,120000,天津市,23.02,16.0,17.13,9.4
223,6157,2000-04,520000,贵州省,6.88,77.2,4.56,94.7
610,6544,2000-04,440000,广东省,187.04,18.5,125.51,23.6
2161,8095,2000-04,650000,新疆维吾尔自治区,4.26,211.9,3.94,247.0
3515,9449,2000-04,630000,青海省,2.48,4.1,1.55,-6.2
1192,7126,2000-04,510000,四川省,32.35,29.9,22.91,41.4
4458,10392,2000-04,360000,江西省,6.95,15.3,4.83,9.1
4838,10772,2000-04,220000,吉林省,1.7,46.0,0.98,41.0
2548,8482,2000-04,450000,广西壮族自治区,5.48,23.5,3.19,4.1
3130,9064,2000-04,140000,山西省,2.73,14.0,2.46,22.3
1580,7514,2000-04,340000,安徽省,14.88,35.9,9.59,25.9
3876,9810,2000-04,460000,海南省,1.28,24.2,1.07,50.5
1968,7902,2000-04,110000,北京市,91.01,36.1,48.56,40.2
2354,8288,2000-04,330000,浙江省,67.45,40.4,52.86,53.4
1386,7320,2000-04,410000,河南省,12.67,15.6,9.13,40.2
29,5963,2000-04,350000,福建省,40.44,6.4,26.5,2.7
4264,10198,2000-04,210000,辽宁省,21.29,27.1,12.88,23.0
416,6350,2000-04,640000,宁夏回族自治区,1.28,118.1,0.85,110.7
3324,9258,2000-04,230000,黑龙江省,4.25,28.5,3.31,89.4
1774,7708,2000-04,320000,江苏省,71.13,18.8,53.5,21.1
804,6738,2000-04,500000,重庆市,24.41,37.1,14.15,70.1
417,6351,2000-05,640000,宁夏回族自治区,2.99,63.2,1.89,38.1
4459,10393,2000-05,360000,江西省,10.08,16.4,6.51,9.7
999,6933,2000-05,620000,甘肃省,4.03,-8.0,2.96,-11.1
2743,8677,2000-05,430000,湖南省,13.04,20.0,8.51,32.0
3131,9065,2000-05,140000,山西省,5.49,32.7,4.88,46.4
1581,7515,2000-05,340000,安徽省,21.41,28.6,13.74,18.0
4651,10585,2000-05,150000,内蒙古自治区,5.81,125.8,3.72,107.4
1775,7709,2000-05,320000,江苏省,97.52,16.8,75.24,20.8
4839,10773,2000-05,220000,吉林省,5.29,31.6,3.39,60.1
3877,9811,2000-05,460000,海南省,1.66,3.1,1.41,77.9
1969,7903,2000-05,110000,北京市,124.2,19.0,69.32,32.3
1387,7321,2000-05,410000,河南省,18.24,19.9,13.28,37.7
2162,8096,2000-05,650000,新疆维吾尔自治区,7.64,168.2,6.92,200.4
3516,9450,2000-05,630000,青海省,3.68,0.0,2.23,-18.3
4071,10005,2000-05,120000,天津市,33.75,18.1,23.66,2.4
1193,7127,2000-05,510000,四川省,44.43,33.4,31.94,46.2
805,6739,2000-05,500000,重庆市,33.98,32.1,19.47,63.7
30,5964,2000-05,350000,福建省,53.51,10.6,34.73,6.9
3325,9259,2000-05,230000,黑龙江省,10.54,23.6,8.5,70.7
4265,10199,2000-05,210000,辽宁省,46.01,44.5,30.73,58.0
