,open,close,high,low,volume,money
2010-01-04,4.73,4.62,4.73,4.6,3886074.0,18101416.0
2010-01-05,4.63,4.79,4.79,4.55,5672582.0,26452002.0
2010-01-06,4.78,4.79,4.87,4.75,6542594.0,31525583.0
2010-01-07,4.77,4.65,4.83,4.61,4117016.0,19476530.0
2010-01-08,4.63,4.69,4.7,4.55,2331620.0,10811247.0
2010-01-11,4.69,4.71,4.77,4.68,3046170.0,14405194.0
2010-01-12,4.71,4.77,4.79,4.67,3011470.0,14219297.0
2010-01-13,4.67,4.64,4.7,4.6,4072854.0,18938696.0
2010-01-14,4.65,4.75,4.77,4.65,3432662.0,16234240.0
2010-01-15,4.76,4.89,4.92,4.76,4971191.0,24154954.0
2010-01-18,5.0,5.13,5.13,4.96,11312289.0,57843424.0
2010-01-19,5.13,5.13,5.13,5.13,0.0,0.0
2010-01-20,5.15,4.88,5.17,4.88,9969183.0,49439392.0
2010-01-21,4.88,4.93,4.99,4.82,4262166.0,20913794.0
2010-01-22,4.88,4.8,4.89,4.72,5546950.0,26555530.0
2010-01-25,4.79,4.7,4.79,4.64,3324059.0,15613029.0
2010-01-26,4.67,4.5,4.74,4.47,4046029.0,18434482.0
2010-01-27,4.59,4.73,4.73,4.52,3235130.0,15084402.0
2010-01-28,4.76,4.74,4.93,4.72,7729908.0,37240092.0
2010-01-29,4.67,4.61,4.72,4.5,4478834.0,20696354.0
2010-02-01,4.6,4.67,4.73,4.57,3400562.0,15778155.0
2010-02-02,4.67,4.61,4.72,4.6,2309729.0,10746503.0
2010-02-03,4.59,4.61,4.65,4.38,2541862.0,11455062.0
2010-02-04,4.59,4.64,4.7,4.54,2788408.0,12963654.0
2010-02-05,4.53,4.54,4.57,4.47,2548382.0,11526975.0
2010-02-08,4.53,4.55,4.57,4.51,1337832.0,6079275.0
2010-02-09,4.54,4.57,4.58,4.53,1399778.0,6372262.0
2010-02-10,4.56,4.61,4.63,4.55,1495633.0,6883815.0
2010-02-11,4.61,4.63,4.7,4.6,1953003.0,9105224.0
2010-02-12,4.69,4.85,4.85,4.67,4798072.0,23010592.0
2010-02-22,4.8,4.89,5.06,4.8,6398702.0,31492570.0
2010-02-23,4.85,4.9,4.92,4.75,3630339.0,17525506.0
2010-02-24,4.87,4.97,4.99,4.81,4342985.0,21324628.0
2010-02-25,4.98,5.13,5.17,4.92,9608018.0,48536420.0
2010-02-26,5.15,5.18,5.19,5.03,8942444.0,45786964.0
2010-03-01,5.43,5.21,5.44,5.13,19791335.0,104792376.0
2010-03-02,5.17,5.09,5.19,5.07,9275881.0,47376100.0
2010-03-03,5.08,5.18,5.18,5.02,8146068.0,41653756.0
2010-03-04,5.39,5.14,5.4,5.13,15708504.0,82567928.0
2010-03-05,5.15,5.04,5.19,5.03,6169582.0,31358480.0
2010-03-08,5.04,5.03,5.11,5.01,4053599.0,20458934.0
2010-03-09,5.03,5.01,5.07,4.95,3938686.0,19740454.0
2010-03-10,5.01,5.07,5.13,4.97,4792490.0,24165486.0
2010-03-11,5.07,5.09,5.11,5.01,3224514.0,16353286.0
2010-03-12,5.09,4.95,5.12,4.95,4026729.0,20176132.0
2010-03-15,4.93,4.84,4.93,4.79,2841597.0,13754793.0
2010-03-16,4.84,4.87,4.91,4.81,2561321.0,12437282.0
2010-03-17,4.91,4.99,5.03,4.87,4182692.0,20753260.0
