,open,close,high,low,volume,money
2010-01-04,3.65,3.71,3.75,3.63,27675892.0,102814240.0
2010-01-05,3.7,3.68,3.74,3.59,25363023.0,92587928.0
2010-01-06,3.66,3.63,3.7,3.62,20436387.0,74615341.0
2010-01-07,3.61,3.47,3.64,3.45,31856355.0,112659976.0
2010-01-08,3.5,3.55,3.6,3.5,18408011.0,65293620.0
2010-01-11,3.57,3.5,3.6,3.48,18304995.0,64357208.0
2010-01-12,3.46,3.55,3.56,3.45,23637866.0,82950559.0
2010-01-13,3.55,3.55,3.55,3.55,0.0,0.0
2010-01-14,3.49,3.53,3.54,3.46,25676061.0,89872144.0
2010-01-15,3.54,3.58,3.63,3.51,24256092.0,86865672.0
2010-01-18,3.58,3.66,3.68,3.55,29280606.0,105933808.0
2010-01-19,3.71,3.65,3.73,3.63,24165020.0,88623584.0
2010-01-20,3.65,3.48,3.67,3.46,36235039.0,128135128.0
2010-01-21,3.46,3.49,3.52,3.45,15959777.0,55526900.0
2010-01-22,3.46,3.36,3.46,3.31,32037765.0,107870568.0
2010-01-25,3.35,3.3,3.38,3.29,13039099.0,43396440.0
2010-01-26,3.3,3.18,3.36,3.14,16235215.0,52800468.0
2010-01-27,3.18,3.13,3.23,3.09,15499583.0,48764672.0
2010-01-28,3.13,3.17,3.17,3.13,8655236.0,27278946.0
2010-01-29,3.18,3.17,3.23,3.15,11778400.0,37609220.0
2010-02-01,3.15,3.14,3.19,3.06,12737070.0,39661940.0
2010-02-02,3.15,3.13,3.21,3.13,11273702.0,35795296.0
2010-02-03,3.13,3.16,3.16,2.97,15271844.0,47038348.0
2010-02-04,3.14,3.19,3.24,3.11,16661102.0,53208988.0
2010-02-05,3.13,3.1,3.16,3.09,12704660.0,39613608.0
2010-02-08,3.11,3.1,3.13,3.09,6642837.0,20609002.0
2010-02-09,3.09,3.09,3.11,3.07,6750924.0,20843618.0
2010-02-10,3.11,3.14,3.14,3.09,6314296.0,19670742.0
2010-02-11,3.16,3.17,3.21,3.14,11058727.0,35235784.0
2010-02-12,3.19,3.2,3.21,3.18,7725845.0,24755628.0
2010-02-22,3.2,3.17,3.2,3.16,8561187.0,27179766.0
2010-02-23,3.17,3.16,3.17,3.1,10377317.0,32432600.0
2010-02-24,3.32,3.32,3.32,3.32,7272965.0,24145164.0
2010-02-25,3.49,3.49,3.49,3.49,7238828.0,25239464.0
2010-02-26,3.55,3.48,3.56,3.45,47356549.0,165913504.0
2010-03-01,3.48,3.48,3.5,3.43,20047376.0,69656064.0
2010-03-02,3.48,3.52,3.54,3.46,24857490.0,87279176.0
2010-03-03,3.5,3.51,3.53,3.49,16169786.0,56712528.0
2010-03-04,3.55,3.51,3.69,3.5,55062696.0,198550016.0
2010-03-05,3.53,3.59,3.6,3.43,36544651.0,128874984.0
2010-03-08,3.76,3.59,3.76,3.58,81588956.0,301131744.0
2010-03-09,3.54,3.56,3.61,3.45,41372245.0,146451040.0
2010-03-10,3.54,3.45,3.55,3.44,25025990.0,87243056.0
2010-03-11,3.45,3.45,3.52,3.4,15331665.0,52926800.0
2010-03-12,3.45,3.42,3.48,3.41,10967549.0,37744848.0
2010-03-15,3.44,3.36,3.44,3.34,16129250.0,54412808.0
2010-03-16,3.35,3.39,3.39,3.35,10594429.0,35663760.0
2010-03-17,3.4,3.46,3.46,3.38,17406680.0,59848728.0
2010-03-18,3.48,3.47,3.5,3.45,16694037.0,58018688.0
2010-03-19,3.48,3.59,3.59,3.46,25468004.0,89729224.0
2010-03-22,3.6,3.56,3.62,3.53,26525971.0,94685344.0
2010-03-23,3.56,3.53,3.58,3.51,15668780.0,55490720.0
2010-03-24,3.53,3.51,3.55,3.5,13691766.0,48226840.0
2010-03-25,3.5,3.41,3.5,3.4,23401109.0,80317768.0
2010-03-26,3.41,3.45,3.46,3.4,11949396.0,41094852.0
2010-03-29,3.45,3.53,3.53,3.45,16772985.0,58648320.0
2010-03-30,3.52,3.5,3.52,3.49,11481131.0,40185624.0
2010-03-31,3.5,3.46,3.5,3.45,15491348.0,53697092.0
2010-04-01,3.46,3.54,3.55,3.46,25528764.0,89518632.0
2010-04-02,3.55,3.6,3.65,3.54,35683919.0,128550728.0
2010-04-06,3.63,3.56,3.64,3.54,20876826.0,74549152.0
2010-04-07,3.58,3.58,3.62,3.55,17956554.0,64368012.0
2010-04-08,3.56,3.54,3.59,3.5,22971427.0,81548488.0
2010-04-09,3.55,3.57,3.6,3.54,20574675.0,73246656.0
2010-04-12,3.59,3.62,3.65,3.56,38592597.0,139093968.0
2010-04-13,3.61,3.58,3.65,3.49,27441289.0,98222760.0
2010-04-14,3.61,3.74,3.75,3.56,76292789.0,282429280.0
2010-04-15,3.73,3.71,3.78,3.66,65413726.0,243009920.0
2010-04-16,3.68,3.71,3.74,3.63,36048080.0,132710200.0
2010-04-19,3.64,3.53,3.64,3.53,41227930.0,147160992.0
2010-04-20,3.4,3.35,3.48,3.35,54451978.0,183036224.0
2010-04-21,3.34,3.38,3.39,3.28,36424005.0,121814760.0
2010-04-22,3.36,3.29,3.36,3.25,33289788.0,109708792.0
2010-04-23,3.28,3.31,3.38,3.23,27928105.0,92753168.0
2010-04-26,3.33,3.36,3.4,3.29,23931874.0,80119024.0
2010-04-27,3.35,3.24,3.36,3.19,26386032.0,85481824.0
2010-04-28,3.08,3.08,3.14,3.08,28010397.0,86269952.0
2010-04-29,3.06,2.93,3.09,2.92,47277454.0,140601856.0
2010-04-30,2.93,2.85,2.95,2.79,33036688.0,93378504.0
2010-05-04,2.78,2.73,2.81,2.7,24223473.0,66680692.0
2010-05-05,2.67,2.78,2.8,2.59,40431827.0,108011080.0
2010-05-06,2.72,2.72,2.8,2.71,26017164.0,71609320.0
2010-05-07,2.64,2.84,2.85,2.6,29166734.0,80313064.0
2010-05-10,2.81,2.81,2.86,2.76,20940700.0,58737676.0
2010-05-11,2.84,2.74,2.85,2.74,17514355.0,49086240.0
2010-05-12,2.71,2.74,2.76,2.66,15357091.0,41777480.0
2010-05-13,2.72,2.76,2.76,2.67,14350198.0,39097476.0
2010-05-14,2.74,2.76,2.78,2.7,13607553.0,37361312.0
2010-05-17,2.71,2.62,2.72,2.62,12636798.0,33535206.0
2010-05-18,2.53,2.58,2.61,2.49,32693405.0,82670248.0
2010-05-19,2.54,2.58,2.65,2.51,21297111.0,55196444.0
2010-05-20,2.56,2.45,2.61,2.45,27175831.0,68169536.0
2010-05-21,2.35,2.47,2.49,2.33,31508727.0,75711832.0
2010-05-24,2.5,2.6,2.6,2.5,33809895.0,87444624.0
2010-05-25,2.56,2.63,2.64,2.55,31782867.0,82690016.0
2010-05-26,2.61,2.76,2.76,2.59,37470600.0,101152152.0
2010-05-27,2.7,2.75,2.77,2.66,33190595.0,90075568.0
2010-05-28,2.77,2.8,2.83,2.72,25750151.0,71348352.0
2010-05-31,2.77,2.66,2.82,2.66,33248222.0,91558832.0
2010-06-01,2.59,2.66,2.68,2.56,27294294.0,71693520.0
2010-06-02,2.63,2.69,2.69,2.62,17287478.0,45827116.0
2010-06-03,2.69,2.69,2.69,2.69,0.0,0.0
2010-06-04,2.77,2.74,2.9,2.69,99146655.0,276371168.0
2010-06-07,2.58,2.52,2.64,2.49,41572907.0,106318896.0
2010-06-08,2.45,2.56,2.56,2.45,23306131.0,58224924.0
2010-06-09,2.56,2.6,2.64,2.51,29554296.0,75801640.0
2010-06-10,2.56,2.52,2.6,2.52,19837201.0,50793288.0
2010-06-11,2.53,2.5,2.56,2.49,16538835.0,41599788.0
2010-06-17,2.51,2.45,2.54,2.45,14792931.0,36608532.0
2010-06-18,2.45,2.4,2.51,2.35,14785821.0,36177276.0
2010-06-21,2.4,2.47,2.49,2.35,16438689.0,40180092.0
2010-06-22,2.5,2.48,2.51,2.47,16730520.0,41550768.0
2010-06-23,2.47,2.43,2.48,2.41,13177557.0,32182730.0
2010-06-24,2.44,2.45,2.46,2.42,9965787.0,24314262.0
2010-06-25,2.44,2.39,2.45,2.38,11676326.0,28096616.0
2010-06-28,2.39,2.34,2.41,2.33,8343054.0,19691170.0
2010-06-29,2.35,2.11,2.36,2.11,20244519.0,44986440.0
2010-06-30,2.11,2.11,2.11,2.11,0.0,0.0
2010-07-01,2.06,2.11,2.16,2.06,14145515.0,29902566.0
2010-07-02,2.09,2.1,2.14,1.98,16912910.0,34839360.0
2010-07-05,2.06,2.05,2.09,2.02,8176531.0,16800272.0
2010-07-06,2.05,2.1,2.12,2.04,11290419.0,23640486.0
2010-07-07,2.11,2.13,2.13,2.09,11410306.0,24083544.0
2010-07-08,2.14,2.14,2.17,2.12,12756117.0,27308222.0
2010-07-09,2.13,2.19,2.2,2.11,18447486.0,39792448.0
2010-07-12,2.19,2.25,2.3,2.17,28037391.0,63118460.0
2010-07-13,2.2,2.15,2.2,2.13,21185460.0,45776000.0
2010-07-14,2.15,2.17,2.21,2.15,13085225.0,28522124.0
2010-07-15,2.17,2.12,2.2,2.11,10518976.0,22654248.0
2010-07-16,2.12,2.17,2.17,2.1,13225706.0,28279948.0
2010-07-19,2.15,2.2,2.21,2.14,21460639.0,46745956.0
2010-07-20,2.2,2.25,2.27,2.19,27234196.0,60736576.0
2010-07-21,2.24,2.26,2.3,2.23,23420463.0,53122432.0
2010-07-22,2.24,2.29,2.31,2.24,27159638.0,61829120.0
2010-07-23,2.28,2.28,2.3,2.24,24292790.0,54982508.0
2010-07-26,2.3,2.29,2.31,2.26,18550303.0,42469640.0
2010-07-27,2.29,2.29,2.31,2.27,21171029.0,48529992.0
2010-07-28,2.28,2.51,2.51,2.27,77918155.0,188780032.0
2010-07-29,2.5,2.52,2.54,2.44,73639150.0,182473440.0
2010-07-30,2.48,2.47,2.5,2.44,30329963.0,74880088.0
2010-08-02,2.47,2.52,2.58,2.46,40161424.0,100954488.0
2010-08-03,2.51,2.47,2.57,2.47,42186755.0,106434856.0
2010-08-04,2.47,2.55,2.55,2.46,38159447.0,95768632.0
2010-08-05,2.53,2.52,2.59,2.5,31411311.0,79888672.0
2010-08-06,2.51,2.54,2.55,2.44,35060903.0,87311640.0
2010-08-09,2.52,2.76,2.79,2.5,128452551.0,351003424.0
2010-08-10,2.76,2.63,2.76,2.62,55025587.0,148435072.0
2010-08-11,2.62,2.89,2.89,2.62,160202747.0,457241664.0
2010-08-12,2.86,3.03,3.17,2.84,153364173.0,464617664.0
2010-08-13,2.97,3.1,3.14,2.95,101366954.0,309924000.0
