,open,close,high,low,volume,money
2010-01-04,15.09,14.76,15.31,14.75,4157352.0,61909924.0
2010-01-05,14.74,14.28,14.75,14.08,6901059.0,98480392.0
2010-01-06,14.26,14.42,14.65,14.04,6272018.0,89855097.0
2010-01-07,14.4,14.2,14.57,14.1,4522591.0,64817308.0
2010-01-08,14.2,14.48,14.48,14.15,4672946.0,66873724.0
2010-01-11,14.4,13.94,14.54,13.81,6263131.0,88208744.0
2010-01-12,14.04,14.22,14.28,13.78,4512892.0,63345584.0
2010-01-13,13.92,13.55,14.08,13.5,7285799.0,100085336.0
2010-01-14,13.58,13.79,13.93,13.52,4286269.0,58793252.0
2010-01-15,13.83,14.32,14.38,13.83,8108948.0,115450104.0
2010-01-18,14.33,14.48,14.71,14.33,6513480.0,94367336.0
2010-01-19,14.5,14.33,14.53,14.23,5853183.0,83908816.0
2010-01-20,14.39,13.76,14.39,13.71,4346386.0,60820316.0
2010-01-21,13.75,13.96,13.99,13.53,4124526.0,56648924.0
2010-01-22,13.8,14.39,14.45,13.69,9217504.0,129896248.0
2010-01-25,14.28,13.67,14.32,13.55,6605590.0,91835336.0
2010-01-26,13.64,12.85,13.77,12.8,4816614.0,63520752.0
2010-01-27,12.82,12.81,13.12,12.69,2507060.0,32275726.0
2010-01-28,12.81,12.81,12.81,12.81,0.0,0.0
2010-01-29,12.83,12.67,13.06,12.63,4142650.0,53073380.0
2010-02-01,12.64,12.79,12.93,12.01,4768848.0,59075408.0
2010-02-02,12.74,12.74,13.07,12.7,4379120.0,56562352.0
2010-02-03,12.64,13.37,13.38,12.26,5306914.0,68708752.0
2010-02-04,13.18,13.51,13.74,13.08,5534880.0,74778624.0
2010-02-05,13.28,12.78,13.32,12.7,3735578.0,48538564.0
2010-02-08,12.82,12.5,12.92,12.5,2159245.0,27252596.0
2010-02-09,12.5,12.37,12.64,12.27,1751600.0,21742958.0
2010-02-10,12.5,12.57,12.57,12.35,1799126.0,22415688.0
2010-02-11,12.58,12.64,12.77,12.54,1991765.0,25226684.0
2010-02-12,12.77,12.66,12.77,12.48,2022267.0,25503040.0
2010-02-22,12.63,12.41,12.65,12.41,2130607.0,26635040.0
2010-02-23,12.3,12.41,12.43,12.09,2442141.0,29836722.0
2010-02-24,12.31,12.7,12.72,12.17,2981196.0,37259528.0
2010-02-25,12.66,13.15,13.19,12.66,5119774.0,66497180.0
2010-02-26,13.16,13.04,13.19,13.01,3974935.0,52095972.0
2010-03-01,13.03,13.05,13.11,12.82,3474008.0,45072032.0
2010-03-02,13.07,13.34,13.5,13.06,5227558.0,69369760.0
2010-03-03,13.32,13.13,13.32,12.98,3791877.0,49731392.0
2010-03-04,13.13,13.3,13.97,13.09,9037509.0,122361656.0
2010-03-05,13.21,13.53,13.74,13.13,6086103.0,82047888.0
2010-03-08,13.68,13.58,13.81,13.42,3948213.0,53592452.0
2010-03-09,13.6,13.67,13.97,13.14,7949543.0,108965680.0
