,open,close,high,low,volume,money
2010-01-04,6.61,6.58,6.66,6.51,8729422.0,57360944.0
2010-01-05,6.5,6.46,6.56,6.35,12650966.0,81468936.0
2010-01-06,6.47,6.5,6.65,6.41,11437005.0,74840708.0
2010-01-07,6.44,6.46,6.66,6.3,14187315.0,92013888.0
2010-01-08,6.42,6.66,6.69,6.33,20733760.0,136530784.0
2010-01-11,6.66,6.61,6.82,6.44,24092769.0,159423248.0
2010-01-12,6.6,6.69,6.81,6.58,22736732.0,152523068.0
2010-01-13,6.58,6.3,6.59,6.29,19606679.0,126030888.0
2010-01-14,6.28,6.4,6.45,6.24,9835045.0,62391452.0
2010-01-15,6.44,6.5,6.58,6.4,9973105.0,64829384.0
2010-01-18,6.49,6.58,6.6,6.41,14205932.0,92993720.0
2010-01-19,6.57,6.58,6.66,6.49,15116138.0,99264920.0
2010-01-20,6.58,6.79,6.79,6.47,35524426.0,236839376.0
2010-01-21,6.7,7.15,7.21,6.61,56330220.0,393547296.0
2010-01-22,6.97,6.64,7.01,6.44,28468223.0,190435424.0
2010-01-25,6.46,6.18,6.5,6.12,17625386.0,110608528.0
2010-01-26,6.13,5.77,6.2,5.72,13805500.0,81287016.0
2010-01-27,5.96,5.82,5.97,5.78,9705107.0,56949960.0
2010-01-28,5.81,5.8,5.83,5.58,8540604.0,48901564.0
2010-01-29,5.7,5.84,5.91,5.7,8056232.0,46922492.0
2010-02-01,5.84,5.95,6.05,5.7,9652524.0,56568028.0
2010-02-02,6.05,5.82,6.09,5.82,10691891.0,64052084.0
2010-02-03,5.86,5.97,6.0,5.6,12930964.0,75213696.0
2010-02-04,5.96,6.05,6.27,5.81,19581581.0,118680232.0
2010-02-05,5.86,5.74,5.92,5.69,13771178.0,79642688.0
2010-02-08,5.74,5.75,5.8,5.69,4409351.0,25305454.0
2010-02-09,5.75,5.72,5.77,5.69,4174522.0,23879560.0
2010-02-10,5.78,5.77,5.8,5.7,4005041.0,23051364.0
2010-02-11,5.74,5.78,5.85,5.73,4975310.0,28833918.0
2010-02-12,5.8,5.8,5.83,5.76,3787237.0,22001088.0
2010-02-22,5.79,5.8,5.85,5.73,4702825.0,27240520.0
2010-02-23,5.81,5.76,5.81,5.58,5666552.0,32266834.0
2010-02-24,5.72,5.9,5.93,5.64,11447419.0,67108344.0
2010-02-25,5.96,6.19,6.37,5.93,22782634.0,139221104.0
2010-02-26,6.11,6.24,6.31,6.05,17204578.0,105838240.0
2010-03-01,6.32,6.22,6.39,6.19,17965119.0,112548064.0
2010-03-02,6.15,6.53,6.69,6.07,36745596.0,234277376.0
2010-03-03,6.42,6.34,6.46,6.28,19311280.0,122379104.0
2010-03-04,6.43,6.26,6.75,6.19,24934473.0,161965152.0
2010-03-05,6.24,6.13,6.33,6.03,13218501.0,81000560.0
2010-03-08,6.33,6.25,6.46,6.19,10014352.0,62912076.0
2010-03-09,6.14,6.32,6.42,6.08,15766496.0,99403824.0
2010-03-10,6.26,6.16,6.31,6.11,8949715.0,55415632.0
2010-03-11,6.14,6.24,6.4,6.13,8629850.0,53858712.0
2010-03-12,6.2,6.09,6.3,6.07,8707414.0,53547024.0
2010-03-15,6.03,5.88,6.08,5.85,6905132.0,40931076.0
2010-03-16,5.9,6.31,6.4,5.88,14597445.0,89761128.0
2010-03-17,6.25,6.37,6.42,6.24,21670002.0,137801856.0
2010-03-18,6.38,6.42,6.47,6.28,16156620.0,103471184.0
2010-03-19,6.42,6.41,6.54,6.35,12443894.0,80103320.0
2010-03-22,6.38,6.32,6.41,6.26,9203950.0,58136404.0
2010-03-23,6.33,6.35,6.47,6.24,9902281.0,62952248.0
2010-03-24,6.34,6.3,6.38,6.25,6793467.0,42844780.0
2010-03-25,6.25,6.09,6.28,6.05,9718847.0,59499624.0
2010-03-26,6.11,6.13,6.2,6.05,5449615.0,33438942.0
2010-03-29,6.14,6.22,6.24,6.14,6480646.0,40127404.0
2010-03-30,6.2,6.21,6.27,6.17,5295769.0,32904970.0
2010-03-31,6.22,6.16,6.28,6.13,6835206.0,42381432.0
2010-04-01,6.16,6.34,6.37,6.14,13838250.0,87228072.0
2010-04-02,6.31,6.35,6.43,6.29,9709193.0,61713616.0
2010-04-06,6.34,6.49,6.51,6.22,12868128.0,81469360.0
2010-04-07,6.45,6.51,6.53,6.31,18115122.0,116599768.0
2010-04-08,6.48,6.42,6.64,6.4,21272067.0,138708000.0
2010-04-09,6.42,6.35,6.43,6.27,9189191.0,58396332.0
2010-04-12,6.35,6.18,6.4,6.12,13352398.0,82867840.0
2010-04-13,6.18,6.12,6.23,5.97,8463766.0,51746920.0
2010-04-14,6.12,6.41,6.45,6.08,14366481.0,89861024.0
2010-04-15,6.33,6.63,6.63,6.24,43103145.0,280213440.0
2010-04-16,6.65,6.51,6.79,6.45,45896255.0,302193024.0
2010-04-19,6.28,6.09,6.37,5.86,22449600.0,136983360.0
2010-04-20,6.02,5.88,6.02,5.73,9022712.0,52773552.0
2010-04-21,5.87,6.08,6.13,5.79,10418558.0,62232360.0
2010-04-22,6.01,5.78,6.05,5.78,14409854.0,84329192.0
2010-04-23,5.8,5.78,5.85,5.69,9167439.0,53178420.0
2010-04-26,5.77,5.7,5.9,5.68,6176218.0,35627664.0
2010-04-27,5.71,5.43,5.71,5.32,8770884.0,47758896.0
2010-04-28,5.37,5.47,5.58,5.33,4938069.0,27066328.0
2010-04-29,5.47,5.36,5.63,5.36,4532158.0,24965084.0
2010-04-30,5.44,5.5,5.54,5.26,6870101.0,37130796.0
2010-05-04,5.4,5.38,5.57,5.31,4122930.0,22395542.0
2010-05-05,5.38,5.56,5.69,5.27,21615920.0,118867792.0
2010-05-06,5.47,5.04,5.47,5.04,12799458.0,67523480.0
2010-05-07,4.95,4.82,5.02,4.68,6915644.0,33741708.0
2010-05-10,4.83,4.88,4.95,4.78,5275833.0,25697592.0
2010-05-11,4.98,4.78,5.02,4.71,5432221.0,26296858.0
2010-05-12,4.76,4.84,4.91,4.65,10741456.0,51404928.0
2010-05-13,4.82,4.78,4.83,4.65,7969672.0,37919832.0
2010-05-14,4.77,4.69,4.79,4.6,7154401.0,33622464.0
2010-05-17,4.62,4.23,4.62,4.23,8633270.0,38086812.0
2010-05-18,4.24,4.4,4.48,4.14,9814096.0,42460412.0
2010-05-19,4.38,4.3,4.44,4.22,6580466.0,28429212.0
2010-05-20,4.26,4.19,4.36,4.18,4408362.0,18782486.0
2010-05-21,4.07,4.31,4.36,4.02,8018701.0,34027416.0
2010-05-24,4.45,4.59,4.64,4.45,14025895.0,64203096.0
2010-05-25,4.45,4.47,4.53,4.4,8995816.0,40180860.0
2010-05-26,4.43,4.48,4.55,4.43,5735435.0,25772940.0
2010-05-27,4.44,4.58,4.68,4.39,9040162.0,41125836.0
2010-05-28,4.58,4.58,4.66,4.48,6596742.0,30075198.0
2010-05-31,4.6,4.44,4.71,4.44,10692050.0,49475284.0
2010-06-01,4.34,4.29,4.37,4.17,7058309.0,30164208.0
2010-06-02,4.28,4.39,4.41,4.22,5408289.0,23435846.0
2010-06-03,4.45,4.34,4.49,4.34,6284465.0,27762632.0
2010-06-04,4.32,4.44,4.44,4.23,6204235.0,27044930.0
2010-06-07,4.28,4.33,4.37,4.25,4035075.0,17412750.0
2010-06-08,4.3,4.34,4.39,4.23,3518331.0,15227723.0
2010-06-09,4.34,4.77,4.77,4.28,20194203.0,93627152.0
2010-06-10,4.77,4.76,4.86,4.69,23548455.0,112647720.0
2010-06-11,4.75,4.7,4.79,4.65,8566800.0,40269468.0
2010-06-17,4.7,4.73,4.8,4.69,9306098.0,44198944.0
2010-06-18,4.7,4.64,4.81,4.59,8841721.0,41538968.0
2010-06-21,4.64,4.84,4.91,4.57,14290204.0,68213424.0
2010-06-22,4.77,4.8,4.87,4.73,8105799.0,38943036.0
2010-06-23,4.78,4.74,4.84,4.66,6950484.0,32972682.0
2010-06-24,4.7,4.75,4.81,4.68,4472749.0,21250654.0
2010-06-25,4.71,4.65,4.75,4.57,5763711.0,26715432.0
2010-06-28,4.65,4.65,4.65,4.65,0.0,0.0
2010-06-29,4.59,4.19,4.62,4.18,11150001.0,47998704.0
2010-06-30,4.12,4.06,4.16,4.04,4179903.0,17093788.0
2010-07-01,4.07,4.06,4.15,4.04,3942132.0,16148160.0
2010-07-02,4.1,4.2,4.3,3.79,6970338.0,28487906.0
2010-07-05,4.1,4.09,4.18,4.03,3879081.0,15866104.0
2010-07-06,4.06,4.16,4.2,4.02,4332137.0,17960570.0
2010-07-07,4.13,4.25,4.29,4.13,5304122.0,22393858.0
2010-07-08,4.68,4.68,4.68,4.68,7567338.0,35388756.0
2010-07-09,4.86,4.84,4.91,4.73,31084349.0,150129984.0
2010-07-12,4.8,4.85,5.03,4.74,22543819.0,110313424.0
2010-07-13,4.68,4.53,4.7,4.42,16881747.0,77175856.0
2010-07-14,4.54,4.61,4.75,4.54,12298094.0,57131800.0
2010-07-15,4.57,4.47,4.69,4.45,9398203.0,42847548.0
2010-07-16,4.4,4.58,4.59,4.38,7925894.0,35474868.0
2010-07-19,4.49,4.63,4.67,4.47,9285462.0,42864048.0
2010-07-20,4.65,4.76,4.94,4.61,13919597.0,66474928.0
2010-07-21,4.75,4.9,4.99,4.7,16915165.0,81700064.0
2010-07-22,4.84,4.96,4.97,4.81,14844531.0,72948728.0
2010-07-23,4.95,5.02,5.09,4.8,19173602.0,94746376.0
2010-07-26,5.0,5.09,5.25,4.93,19354839.0,98780584.0
2010-07-27,5.04,4.95,5.07,4.95,13142543.0,65706948.0
2010-07-28,4.94,5.45,5.45,4.86,31743231.0,168367040.0
2010-07-29,5.45,5.42,5.65,5.35,39670868.0,218213536.0
2010-07-30,5.34,5.36,5.45,5.23,15467791.0,82816096.0
2010-08-02,5.35,5.56,5.77,5.28,24057810.0,132546312.0
2010-08-03,5.5,5.36,5.59,5.36,16364327.0,89574128.0
2010-08-04,5.32,5.4,5.42,5.25,10698552.0,57085588.0
2010-08-05,5.36,5.36,5.46,5.32,8026200.0,43216676.0
2010-08-06,5.25,5.31,5.35,5.09,12575326.0,65840900.0
2010-08-09,5.29,5.37,5.41,5.25,9197736.0,49151132.0
2010-08-10,5.34,5.13,5.41,5.12,9357444.0,49291516.0
2010-08-11,5.11,5.23,5.25,5.09,6527999.0,33872132.0
2010-08-12,5.14,5.19,5.36,5.13,9622794.0,50797668.0
2010-08-13,5.14,5.27,5.31,5.07,8480721.0,44235672.0
2010-08-16,5.25,5.36,5.38,5.2,9489671.0,50562928.0
2010-08-17,5.37,5.44,5.55,5.34,13690209.0,74460376.0
2010-08-18,5.23,5.38,5.49,5.23,9971017.0,53661808.0
2010-08-19,5.41,5.44,5.47,5.33,9385947.0,50831072.0
2010-08-20,5.41,5.61,5.76,5.34,33120579.0,185277248.0
2010-08-23,5.73,5.61,5.97,5.5,25509076.0,145353600.0
2010-08-24,5.63,5.6,5.75,5.38,18541383.0,102960128.0
2010-08-25,5.52,5.32,5.57,5.27,13355881.0,72436592.0
2010-08-26,5.31,5.28,5.38,5.24,6871655.0,36449780.0
2010-08-27,5.32,5.3,5.36,5.25,5132916.0,27222660.0
2010-08-30,5.36,5.36,5.39,5.27,8237559.0,43980488.0
2010-08-31,5.32,5.31,5.36,5.22,9169881.0,48364140.0
2010-09-01,5.28,5.33,5.39,5.23,10652740.0,56614660.0
2010-09-02,5.33,5.29,5.36,5.25,8525784.0,45172288.0
2010-09-03,5.28,5.36,5.36,5.24,9418393.0,50030172.0
2010-09-06,5.39,5.43,5.47,5.33,11902795.0,64395792.0
2010-09-07,5.45,5.39,5.45,5.34,6771170.0,36425584.0
2010-09-08,5.39,5.28,5.39,5.25,7543821.0,39872152.0
2010-09-09,5.29,5.16,5.34,5.11,10186476.0,53159196.0
2010-09-10,5.16,5.07,5.18,4.97,6571548.0,33340862.0
2010-09-13,5.07,5.22,5.3,5.04,6896194.0,35821504.0
2010-09-14,5.25,5.15,5.31,5.13,5442178.0,28185312.0
2010-09-15,5.15,5.09,5.17,5.06,4555528.0,23271612.0
