,open,close,high,low,volume,money
2010-01-04,16.54,15.98,16.55,15.95,30869547.0,501219936.0
2010-01-05,15.94,15.26,15.94,15.08,80123455.0,1228104192.0
2010-01-06,15.26,15.36,15.67,15.14,47312501.0,729414687.0
2010-01-07,15.36,15.33,15.62,15.07,45712837.0,702061568.0
2010-01-08,15.27,15.58,15.6,15.18,33068136.0,511198144.0
2010-01-11,15.89,15.04,15.96,14.9,50319776.0,767460928.0
2010-01-12,15.05,15.36,15.44,14.61,56505001.0,849630937.0
2010-01-13,14.88,14.62,15.02,14.59,42768621.0,633406784.0
2010-01-14,14.62,14.85,14.96,14.58,26743281.0,395279776.0
2010-01-15,14.93,15.14,15.32,14.93,36562845.0,554636160.0
2010-01-18,15.14,15.29,15.32,14.9,32061214.0,485643008.0
2010-01-19,15.33,15.14,15.38,15.08,30282707.0,460447616.0
2010-01-20,15.18,14.36,15.22,14.27,38689966.0,569235648.0
2010-01-21,14.4,14.44,14.57,14.16,24523698.0,351980352.0
2010-01-22,14.15,13.97,14.26,13.77,39317380.0,550919616.0
2010-01-25,13.88,13.91,14.13,13.83,21111921.0,294711968.0
2010-01-26,13.96,13.33,13.96,13.23,33222119.0,448364640.0
2010-01-27,13.36,13.42,13.64,13.06,33154998.0,443317024.0
2010-01-28,13.34,13.6,13.72,13.16,32127149.0,431822272.0
2010-01-29,13.56,14.06,14.34,13.41,69092582.0,972038528.0
2010-02-01,13.99,14.52,14.77,13.72,50884571.0,727141696.0
2010-02-02,14.57,14.23,14.94,14.21,43172488.0,631095808.0
2010-02-03,14.21,14.9,14.99,14.09,57913126.0,846694976.0
2010-02-04,14.59,14.62,14.77,14.31,59084730.0,862670976.0
2010-02-05,14.03,13.62,14.34,13.46,55674643.0,769564288.0
2010-02-08,13.63,13.69,13.8,13.31,29769205.0,401285504.0
2010-02-09,13.65,13.53,13.82,13.46,22421867.0,305735296.0
2010-02-10,13.64,13.9,13.91,13.52,20604090.0,282565248.0
2010-02-11,13.9,14.09,14.26,13.72,23489668.0,330708992.0
2010-02-12,14.16,14.16,14.21,14.03,11814017.0,166902640.0
2010-02-22,14.03,13.9,14.13,13.89,15483723.0,216695232.0
2010-02-23,13.9,13.55,13.9,13.31,18286224.0,246910160.0
2010-02-24,13.33,13.85,13.85,13.32,18798900.0,256250688.0
2010-02-25,13.9,14.27,14.34,13.89,26146794.0,371460896.0
2010-02-26,14.31,14.29,14.57,14.19,27057568.0,388775424.0
2010-03-01,14.18,14.31,14.37,14.01,21148580.0,300565856.0
2010-03-02,14.34,14.54,14.59,14.22,33364826.0,481394016.0
2010-03-03,14.51,14.33,14.52,14.16,21554008.0,308917664.0
