,open,close,high,low,volume,money
2010-01-04,9.64,9.24,9.64,9.18,5885845.0,55081212.0
2010-01-05,9.18,8.83,9.24,8.78,13717226.0,122575168.0
2010-01-06,8.83,8.97,9.15,8.79,8329977.0,74783632.0
2010-01-07,8.88,8.81,9.09,8.75,7594509.0,67590192.0
2010-01-08,8.82,9.09,9.09,8.81,9745015.0,87463736.0
2010-01-11,9.12,9.05,9.17,8.73,10500875.0,93638224.0
2010-01-12,8.96,9.23,9.26,8.84,9041434.0,82242108.0
2010-01-13,9.1,9.47,9.72,8.97,23588961.0,221672864.0
2010-01-14,9.46,9.55,9.6,9.29,11580218.0,109424208.0
2010-01-15,9.66,9.74,10.03,9.56,14352018.0,140805520.0
2010-01-18,9.73,9.78,9.94,9.61,9515053.0,93210416.0
2010-01-19,9.92,9.94,10.19,9.89,12162668.0,121931584.0
2010-01-20,9.99,9.4,10.07,9.38,11992948.0,115479408.0
2010-01-21,9.36,9.47,9.56,9.18,7240655.0,68088536.0
2010-01-22,9.24,9.02,9.35,8.79,9153617.0,82661608.0
2010-01-25,8.88,8.87,9.05,8.75,3733525.0,33263582.0
2010-01-26,8.88,8.28,8.95,8.19,6587049.0,55922448.0
2010-01-27,8.3,8.23,8.45,8.03,6044262.0,49698168.0
2010-01-28,8.23,8.23,8.31,8.11,4007518.0,32935142.0
2010-01-29,8.22,8.24,8.39,8.07,5105140.0,42213596.0
2010-02-01,8.24,8.28,8.37,7.93,5493479.0,44712304.0
2010-02-02,8.32,8.14,8.51,8.1,5261935.0,43918104.0
2010-02-03,8.13,8.39,8.42,7.94,5681416.0,46739724.0
2010-02-04,8.37,8.54,8.65,8.24,8605118.0,73473760.0
2010-02-05,8.24,8.18,8.41,8.1,5722864.0,47095452.0
2010-02-08,8.15,8.02,8.19,8.02,3825320.0,30874142.0
2010-02-09,8.01,8.07,8.08,7.96,3074476.0,24662314.0
2010-02-10,8.19,8.22,8.23,8.02,2625185.0,21310406.0
